career,skills
Data Scientist,"python sql machine learning statistics pandas numpy data visualization"
ML Engineer,"python machine learning deep learning tensorflow pytorch deployment"
Data Analyst,"sql excel power bi tableau statistics python"
Software Engineer,"java c++ dsa oops dbms operating systems"
AI Engineer,"python machine learning deep learning nlp computer vision"
Data Engineer,"python sql spark hadoop data warehouse etl"
Backend Developer,"python java nodejs api database system design"
Frontend Developer,"html css javascript react ui ux"
Full Stack Developer,"html css javascript react nodejs mongodb sql"
Cyber Security Analyst,"network security cryptography ethical hacking linux"
Cloud Engineer,"aws azure docker kubernetes devops linux"
DevOps Engineer,"docker kubernetes ci/cd aws linux automation"
Business Analyst,"excel sql power bi communication analytics"